Group,Subgroup,Definition,Unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Environmental and Resource Productivity of the Economy,  CO2 and energy productivity of the economy,Production based CO2 emissions,"Tonnes, Millions",117.77,118.58,110.58,111.37,105.07,94.58,95.67,96.96,112.32,113.24,119.97,120.57,123.4,115.98,118.93,112.16,119.9,116.28,121.24,110.6,119.93,122.81,107.09,106.32,99.52,93.88,99.95,104.52,107.58,111.81,109.6,..,..
,,"Production based CO2 productivity, GDP per unit of CO2 emissions","USD per kilogram, 2015",0.66,0.65,0.62,0.6,0.61,0.67,0.67,0.7,0.63,0.65,0.64,0.66,0.67,0.74,0.78,0.88,0.89,1,1.05,1.24,1.23,1.29,1.59,1.72,1.96,2.23,2.22,2.21,2.26,2.3,2.39,..,..
,  CO2 and energy productivity of the economy,    Total primary energy supply,"Tonnes of oil equivalent (toe), Millions",47.39,48.04,45.09,46.85,46.32,39.27,40.75,41.5,43.19,45,46.27,46.76,48.46,46.89,46.34,43.81,45.23,44.16,45.45,41.5,45.13,46.49,40.56,40.09,37.4,35.76,37.77,39.71,48.11,47.07,45.25,..,..
,,"Energy Productivity, GDP per unit of TPES","USD, 2015",1643.44,1613.25,1526.24,1435.09,1376.05,1608.57,1576.69,1628.66,1632.17,1633.73,1649.91,1700.58,1706.32,1838.09,1998.35,2260.68,2352.82,2637.85,2794.59,3306.8,3271.87,3415.68,4192.87,4551.9,5214.7,5847.03,5864.07,5822.06,5063.45,5471.18,5797.56,..,..
,,"Energy intensity of GDP, TPES per GDP",koe/USD(2015),..,..,..,..,..,..,..,..,..,..,1.029,0.978,0.957,0.863,0.771,0.677,0.604,0.556,0.521,0.447,0.426,0.384,0.299,0.275,0.237,0.218,0.204,0.202,0.2,0.193,0.168,0.159,0.139
,,"    Renewable energy supply, % total energy supply",Percentage,1.21,1.09,1.21,1.36,1.34,1.36,1.39,1.21,1.16,1.36,0.66,0.81,1.08,1.51,1.14,1.76,0.9,0.92,0.86,1.35,1.57,1.06,1.42,1.23,1.41,1.65,1.57,1.73,1.06,1.19,0.96,..,..
,,"    Renewable electricity, % total electricity generation",Percentage,11.8,11.13,12.34,14.97,14.97,13.04,14.37,12.54,12.61,15.56,7.53,9.08,12.2,16.76,12.27,18.73,9.52,9.52,8.94,12.94,15.76,10.8,12.55,10.44,10.89,11.89,11.68,13.04,9.38,10.17,7.52,..,..
,,"    Energy consumption in agriculture, % total energy consumption",Percentage,4,4.14,3.29,3.06,2.8,4.21,8,7.82,3.55,3.48,3.45,3.8,3.83,3.82,3.89,3.77,4.08,4.26,3.9,2.67,2.41,2.44,2.69,2.9,3.01,3.39,3.34,3.23,5.6,4.59,3.4,..,..
,,"    Energy consumption in services, % total energy consumption",Percentage,0.35,0.36,0.73,0.63,0.57,7.74,5.18,9.33,8.7,8.79,8.76,8.57,8.58,8.72,8.71,8.7,8.64,8.59,8.69,8.78,8.89,8.97,8.73,8.52,8.33,8.18,8.72,8.57,12.26,13.55,12.81,..,..
,,"    Energy consumption in industry, % total energy consumption",Percentage,6.91,6.4,6.81,6.39,5.92,24.36,20.05,16.03,23.29,23.31,23.18,23.13,23.32,23.51,23.39,23.34,23.2,23.14,23.13,23.13,23.33,23.56,23.64,23.28,23.2,23.18,22.86,23.36,22.13,23.97,20.55,..,..
,,"    Energy consumption in transport, % total energy consumption",Percentage,7.7,7.01,6.19,5.39,4.62,8.94,12,11.87,13.31,13.52,13.06,13.35,12.58,12.07,12.11,12.62,12.68,12.98,12.35,12.78,12.3,11.86,11.64,10.85,11.39,11.55,10.9,11.11,19.07,19.75,18.22,..,..
,,"    Energy consumption in other sectors(buildings), % total energy consumption",Percentage,81.04,82.09,82.99,84.54,86.1,54.74,54.77,54.95,51.15,50.91,51.56,51.15,51.69,51.88,51.91,51.56,51.4,51.03,51.93,52.64,53.08,53.17,53.3,54.45,54.08,53.71,54.19,53.72,40.95,38.14,45.01,..,..
